id	name	set	politics_cost	intrigue_cost	one_power_cost	combat_cost	type	subtype_allegiance	attribute	politics_ability	intrigue_ability	one_power_ability	combat_ability	rarity	collector	text	flavor	artist
the_way_of_the_leaf	The Way of the Leaf	premier					Advantage	Character						Common	01-271 C	This card may only be played by a Hero player.  Target a character you control with no combat ability.  The target gains +2 Politics ability, but cannot gain combat ability or roll combat dice.  Any damage generated by the target is negated. [Add the word *permanent* to combat ability. 02.29.2000 - ERRATA]		
the_wheel_turns	The Wheel Turns	premier					Event							Rare	01-272 R	Pay [One Power Icon x2] for each card-based challenge initiated this turn.  Only the Pattern challenge can add tokens to the Pattern this turn.		
the_white_tower	The White Tower	premier					Advantage	Player						Rare	01-273 R	If you control the Tar Valon contested advantage by 5 or more, you may rotate this advantage when you succeed at the Pattern Challenge to add a token to your section of the Pattern.		
thom_merrilin	Thom Merrilin	premier	3	1			Character	Dragon	Gleeman	1	4		2	Rare	01-274 R	Thom may pay [Intrigue Icon] [Intrigue Icon] [Intrigue Icon] as an event to force another player to discard a random card from his hand.		
tight_formation	Tight Formation	premier				2	Advantage	Player						Uncommon	01-275 U	While a troop you control is the only troop you have participating in a given challenge, that troop gains +2 Combat ability.		
to_the_victor	To The Victor	premier	1	1			Advantage	Player						Rare	01-276 R	Whenever you succeed at a card-based challenge you initiated, draw 1 card.		
training_for_war	Training for War	premier					Advantage	Troop						Common	01-277 C	Target troop gains +1 Combat ability.		
treaty	Treaty	premier					Challenge							Common	01-278 C	Choose an allegiance.  If you succeed, this challenge becomes a player advantage for you.  You may rotate this advantage as an event to generate one Politics symbol of the chosen allegiance.		
trolloc	Trolloc	premier					Character	Dark One	Monster, Multiple				1	Fixed	01-279 F	The only cost to recruit this character is to rotate a character you control with the Dark One allegiance.		
trolloc_fist	Trolloc Fist	premier				3	Troop	Dark One	Monster				6	Rare	01-280 R	One per turn, you may discard a trolloc troop you control from play to heal an amount of damage on the Trolloc Fist equal to the discarded troop's permanent Combat rating.		
trolloc_footmen	Trolloc Footmen	premier				2	Troop	Dark One	Monster, Multiple				5	Fixed	01-281 F	When assigning damage from your opponent's troop damage pool, you may not place a point of damage on a non-trolloc troop until this troop has had a point of damage assigned to it.		
trolloc_horn	Trolloc Horn	premier				1	Advantage	Character						Rare	01-282 R	Target a trolloc character you control.  Rotate this advantage as an event and pay [Combat Icon x2] to find the top trolloc (character or troop) in your deck.  Place it in your hand.		
trolloc_raiders	Trolloc Raiders	premier		1			Troop	Dark One	Monster, Multiple				3	Uncommon	01-283 U	When this troop is killed, draw a card.		
trolloc_war_band	Trolloc War Band	premier		1		2	Troop	Dark One	Monster, Multiple				5	Rare	01-284 R	If you have a ready Myrddraal that is standing down in the battleground, this card gains Reinforcement.		
twisting_fate	Twisting Fate	premier					Challenge							Rare	01-285 R	Target another player.  If successful, remove a token from his section of the Pattern.  The total number of tokens on the target's section of the pattern counts as automatic opposition to this challenge.		
twists_in_the_pattern	Twists in the Pattern	premier					Event							Rare	01-286 R	Convert one of your Pattern tokens to a neutral token and target another player.  That player must also convert one of his Pattern tokens to a neutral token.		
two_rivers_archers	Two Rivers Archers	premier	2				Troop	Andor					3	Uncommon	01-287 U	The Two Rivers Archers roll their dice during the Opening Moves step (instead of the Coming to Grips step).  Whenever the Two Rivers Archers take a point of damage, immediately apply an additonal point of damage to them.		
unexpected_ally	Unexpected Ally	premier					Event	Limited						Fixed	01-288 F	Roll two Politics dice.  Add any [Politics Icon] you generate to your pool.  They have all allegiances.		
verin_sedai	Verin Sedai	premier		1	2		Character	Aes Sedai	Brown Ajah, Light Nature	1	2	2		Rare	01-289 R	While you control Verin, your maximum hand size is increased by one.		
wall_of_fire	Wall of Fire	premier					Event							Rare	01-290 R	During the Opening Moves step of a challenge, target one participating troop for each [One Power Icon] you pay.  The targeted troops may rotate to stand down.  If they do not stand down, each troop takes as much damage as it rolls.		
wandering_noble	Wandering Noble	premier	2				Character	Mercenary	Multiple	2				Common	01-291 C			
ward_of_protection	Ward of Protection	premier					Event							Rare	01-292 R	For each [One Power Icon] you pay, the cost for every other player to target you (or a card you control) with an event is increased by one [One Power Icon].		
waygate	Waygate	premier					Event							Uncommon	01-293 U	Select one of: your home front; a challenge; or standing down.  Target any number of characters and troops you control at the selected location.  Roll one Intrigue dice for each card targeted.  For each damage result rolled, kill one target.  The remaining cards reinforce one unresolved challenge.		
weariness	Weariness	premier					Advantage	Character						Uncommon	01-294 U	If the target participated in a challenge last turn, he does not ready during the ready round.  The target's controller may pay two ability symbols of any type(s) as an event to discard this advantage.		
what_might_be	What Might Be	premier					Event							Rare	01-295 R	Convert one of your Pattern tokens to a neutral token.  Target an event card in your discard pile that is not the top event in that pile put the target card in your hand.		
whispers_in_the_dark	Whispers in the Dark	premier					Event							Common	01-296 C	This card may only be played by a Villain player.  Roll an Intrigue die for each token on your section of the Pattern.  Apply any [Support Icon] or [Opposition Icon] rolled (as appropriate) to a card based challenge of your choice.		
wolves	Wolves	premier				1	Troop	Mercenary	Multiple, Reinforcement, Wolf				2	Uncommon	01-297 U	You must control a Wolfbrother to bring Wolves into play.  You must discard Wolves if you do not control a Wolfbrother.  Wolves gain +1 Combat while participating in a challenge against monster troops.  This troop cannot be the target of advantages.		
